Cell	Group	Amp	Shape	Rep	Spikes
20	8	1	1	1	0
20	8	1	2	1	0
20	8	1	3	1	0
20	8	1	4	1	0
20	8	2	1	1	0
20	8	2	2	1	0
20	8	2	3	1	0
20	8	2	4	1	0
20	8	3	1	1	1
20	8	3	2	1	1
20	8	3	3	1	1
20	8	3	4	1	1
20	8	1	1	2	0
20	8	1	2	2	0
20	8	1	3	2	0
20	8	1	4	2	0
20	8	2	1	2	0
20	8	2	2	2	0
20	8	2	3	2	0
20	8	2	4	2	0
20	8	3	1	2	1
20	8	3	2	2	1
20	8	3	3	2	1
20	8	3	4	2	1
20	8	1	1	3	0
20	8	1	2	3	0
20	8	1	3	3	0
20	8	1	4	3	0
20	8	2	1	3	1
20	8	2	2	3	1
20	8	2	3	3	0
20	8	2	4	3	0
20	8	3	1	3	1
20	8	3	2	3	1
20	8	3	3	3	1
20	8	3	4	3	0
20	8	1	1	4	0
20	8	1	2	4	0
20	8	1	3	4	0
20	8	1	4	4	0
20	8	2	1	4	0
20	8	2	2	4	1
20	8	2	3	4	0
20	8	2	4	4	0
20	8	3	1	4	1
20	8	3	2	4	1
20	8	3	3	4	1
20	8	3	4	4	0
21	8	1	1	1	0
21	8	1	2	1	0
21	8	1	3	1	1
21	8	1	4	1	0
21	8	2	1	1	0
21	8	2	2	1	0
21	8	2	3	1	2
21	8	2	4	1	2
21	8	3	1	1	0
21	8	3	2	1	2
21	8	3	3	1	3
21	8	3	4	1	4
21	8	1	1	2	0
21	8	1	2	2	0
21	8	1	3	2	0
21	8	1	4	2	0
21	8	2	1	2	0
21	8	2	2	2	0
21	8	2	3	2	1
21	8	2	4	2	1
21	8	3	1	2	1
21	8	3	2	2	2
21	8	3	3	2	2
21	8	3	4	2	1
21	8	1	1	3	0
21	8	1	2	3	0
21	8	1	3	3	0
21	8	1	4	3	0
21	8	2	1	3	0
21	8	2	2	3	0
21	8	2	3	3	1
21	8	2	4	3	1
21	8	3	1	3	0
21	8	3	2	3	1
21	8	3	3	3	2
21	8	3	4	3	3
21	8	1	1	4	0
21	8	1	2	4	0
21	8	1	3	4	0
21	8	1	4	4	0
21	8	2	1	4	0
21	8	2	2	4	1
21	8	2	3	4	2
21	8	2	4	4	1
21	8	3	1	4	1
21	8	3	2	4	1
21	8	3	3	4	2
21	8	3	4	4	2
22	8	1	1	1	0
22	8	1	2	1	0
22	8	1	3	1	0
22	8	1	4	1	0
22	8	2	1	1	0
22	8	2	2	1	0
22	8	2	3	1	0
22	8	2	4	1	0
22	8	3	1	1	0
22	8	3	2	1	1
22	8	3	3	1	0
22	8	3	4	1	0
22	8	1	1	2	0
22	8	1	2	2	0
22	8	1	3	2	0
22	8	1	4	2	0
22	8	2	1	2	0
22	8	2	2	2	0
22	8	2	3	2	0
22	8	2	4	2	0
22	8	3	1	2	0
22	8	3	2	2	0
22	8	3	3	2	1
22	8	3	4	2	0
22	8	1	1	3	0
22	8	1	2	3	0
22	8	1	3	3	0
22	8	1	4	3	0
22	8	2	1	3	0
22	8	2	2	3	0
22	8	2	3	3	0
22	8	2	4	3	0
22	8	3	1	3	0
22	8	3	2	3	0
22	8	3	3	3	1
22	8	3	4	3	0
22	8	1	1	4	0
22	8	1	2	4	0
22	8	1	3	4	0
22	8	1	4	4	0
22	8	2	1	4	0
22	8	2	2	4	0
22	8	2	3	4	0
22	8	2	4	4	0
22	8	3	1	4	0
22	8	3	2	4	0
22	8	3	3	4	1
22	8	3	4	4	0
24	8	1	1	1	0
24	8	1	2	1	0
24	8	1	3	1	0
24	8	1	4	1	0
24	8	2	1	1	0
24	8	2	2	1	1
24	8	2	3	1	1
24	8	2	4	1	1
24	8	3	1	1	1
24	8	3	2	1	1
24	8	3	3	1	1
24	8	3	4	1	1
24	8	1	1	2	0
24	8	1	2	2	0
24	8	1	3	2	0
24	8	1	4	2	0
24	8	2	1	2	0
24	8	2	2	2	1
24	8	2	3	2	1
24	8	2	4	2	1
24	8	3	1	2	1
24	8	3	2	2	1
24	8	3	3	2	1
24	8	3	4	2	1
24	8	1	1	3	0
24	8	1	2	3	0
24	8	1	3	3	0
24	8	1	4	3	0
24	8	2	1	3	0
24	8	2	2	3	1
24	8	2	3	3	1
24	8	2	4	3	1
24	8	3	1	3	1
24	8	3	2	3	1
24	8	3	3	3	1
24	8	3	4	3	1
24	8	1	1	4	0
24	8	1	2	4	0
24	8	1	3	4	1
24	8	1	4	4	0
24	8	2	1	4	0
24	8	2	2	4	1
24	8	2	3	4	1
24	8	2	4	4	1
24	8	3	1	4	1
24	8	3	2	4	1
24	8	3	3	4	1
24	8	3	4	4	1
25	8	1	1	1	0
25	8	1	2	1	0
25	8	1	3	1	0
25	8	1	4	1	0
25	8	2	1	1	0
25	8	2	2	1	0
25	8	2	3	1	1
25	8	2	4	1	0
25	8	3	1	1	1
25	8	3	2	1	1
25	8	3	3	1	1
25	8	3	4	1	1
25	8	1	1	2	0
25	8	1	2	2	0
25	8	1	3	2	0
25	8	1	4	2	0
25	8	2	1	2	0
25	8	2	2	2	1
25	8	2	3	2	0
25	8	2	4	2	0
25	8	3	1	2	1
25	8	3	2	2	1
25	8	3	3	2	1
25	8	3	4	2	0
25	8	1	1	3	0
25	8	1	2	3	0
25	8	1	3	3	0
25	8	1	4	3	0
25	8	2	1	3	0
25	8	2	2	3	1
25	8	2	3	3	1
25	8	2	4	3	0
25	8	3	1	3	1
25	8	3	2	3	1
25	8	3	3	3	1
25	8	3	4	3	1
25	8	1	1	4	0
25	8	1	2	4	0
25	8	1	3	4	0
25	8	1	4	4	0
25	8	2	1	4	0
25	8	2	2	4	1
25	8	2	3	4	0
25	8	2	4	4	0
25	8	3	1	4	1
25	8	3	2	4	1
25	8	3	3	4	1
25	8	3	4	4	0
27	8	1	1	1	0
27	8	1	2	1	0
27	8	1	3	1	0
27	8	1	4	1	0
27	8	2	1	1	0
27	8	2	2	1	0
27	8	2	3	1	0
27	8	2	4	1	1
27	8	3	1	1	0
27	8	3	2	1	1
27	8	3	3	1	6
27	8	3	4	1	6
27	8	1	1	2	0
27	8	1	2	2	0
27	8	1	3	2	0
27	8	1	4	2	0
27	8	2	1	2	0
27	8	2	2	2	0
27	8	2	3	2	0
27	8	2	4	2	0
27	8	3	1	2	0
27	8	3	2	2	0
27	8	3	3	2	6
27	8	3	4	2	7
27	8	1	1	3	0
27	8	1	2	3	0
27	8	1	3	3	0
27	8	1	4	3	0
27	8	2	1	3	0
27	8	2	2	3	0
27	8	2	3	3	1
27	8	2	4	3	2
27	8	3	1	3	0
27	8	3	2	3	0
27	8	3	3	3	7
27	8	3	4	3	8
27	8	1	1	4	0
27	8	1	2	4	0
27	8	1	3	4	0
27	8	1	4	4	0
27	8	2	1	4	0
27	8	2	2	4	0
27	8	2	3	4	1
27	8	2	4	4	2
27	8	3	1	4	0
27	8	3	2	4	0
27	8	3	3	4	7
27	8	3	4	4	11
27	8	1	1	5	0
27	8	1	2	5	0
27	8	1	3	5	0
27	8	1	4	5	0
27	8	2	1	5	0
27	8	2	2	5	0
27	8	2	3	5	1
27	8	2	4	5	3
27	8	3	1	5	0
27	8	3	2	5	1
27	8	3	3	5	6
27	8	3	4	5	8
28	8	1	1	1	1
28	8	1	2	1	1
28	8	1	3	1	1
28	8	1	4	1	1
28	8	2	1	1	1
28	8	2	2	1	1
28	8	2	3	1	1
28	8	2	4	1	2
28	8	3	1	1	1
28	8	3	2	1	2
28	8	3	3	1	2
28	8	3	4	1	2
28	8	1	1	2	0
28	8	1	2	2	1
28	8	1	3	2	1
28	8	1	4	2	2
28	8	2	1	2	1
28	8	2	2	2	2
28	8	2	3	2	1
28	8	2	4	2	3
28	8	3	1	2	2
28	8	3	2	2	3
28	8	3	3	2	4
28	8	3	4	2	3
28	8	1	1	3	0
28	8	1	2	3	1
28	8	1	3	3	2
28	8	1	4	3	1
28	8	2	1	3	1
28	8	2	2	3	2
28	8	2	3	3	1
28	8	2	4	3	1
28	8	3	1	3	2
28	8	3	2	3	2
28	8	3	3	3	2
28	8	3	4	3	3
28	8	1	1	4	0
28	8	1	2	4	1
28	8	1	3	4	0
28	8	1	4	4	1
28	8	2	1	4	1
28	8	2	2	4	2
28	8	2	3	4	2
28	8	2	4	4	1
28	8	3	1	4	1
28	8	3	2	4	2
28	8	3	3	4	4
28	8	3	4	4	3
28	8	1	1	5	0
28	8	1	2	5	1
28	8	1	3	5	1
28	8	1	4	5	2
28	8	2	1	5	1
28	8	2	2	5	1
28	8	2	3	5	2
28	8	2	4	5	2
28	8	3	1	5	2
28	8	3	2	5	2
28	8	3	3	5	3
28	8	3	4	5	2
29	8	1	1	1	0
