id	old	oldid	animal	groupid	group	stage	ra	rm	cm	ihold	rostral	medial	nav	nai	ktv	kti	ksv	ksi	smean	samp	sbend	mono_m	mono_s	poly_m	poly_s	lat_m	lat_s	stepspike	thslope
45	1	S1	20151113_8	8	Naive	49	34	3.5	5	-12.5	173	113	-6.8	118.6	23.8	543.8	-12.8	568.2	6.633333333	5.475	1.4	-0.440742	0.732578	-0.044725	0.572729	344.099984	26.799999	1	0.055085
103	0	Y3	20151231_1	4	Sync	50	30	1.5	7	-5	169	166	-12.2	247.4	-18	89.2	-7.6	599.9	0.4	0.5	-0.066666667	-30.539958	3.587922	-10.169591	1.383987	230.899987	13.9	1	0.126174
104	0	Z3	20151231_1	4	Sync	50	27	6.8	9	-6.5	177	167	-13.5	229	-26.4	47.5	-10.8	623.3	0.883333333	0.9	-0.15	-3.933885	1.733897	-4.964912	1.12997	292.599985	31.699999	1	0.093993
105	0	A4	20151231_1	4	Sync	50	24	5.4	8	-5	163	153	-13.6	162.3	23.9	119.8	-12.1	263.1	0.7	0.325	-0.1	-0.288527	0.322064	-1.818322	0.820105	314.199984	19.3	1	0.09708
106	0	B4	20151231_1	4	Sync	50	38	4	10	-10	175	173	-4.9	248.4	-15.9	69.1	-12.5	302.4	NaN	NaN	NaN	-35.081787	6.035044	-15.331445	1.552212	218.799987	31.799999	2	0.085726
107	0	C4	20151231_1	4	Sync	50	40	3	8	-5	159	189	NaN	NaN	NaN	NaN	NaN	NaN	0.766666667	0.3	-0.1	-1.71363	1.192642	-5.152278	1.305267	295.299985	22.299999	2	0.095933
108	0	D4	20151231_1	4	Sync	50	37	5	9	-5.3	160	178	-13.9	180.7	-15.7	99.8	-2.4	364.9	0.283333333	0.35	-0.083333333	-8.690626	3.65472	-4.240937	1.144184	249.599986	31.999999	1	0.080429
109	0	E4	20151231_1	4	Sync	50	40	7	6	-8	173	156	-16.2	119.8	15.7	139.1	-3.7	132.8	0.366666667	0.425	-0.066666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.104413
110	0	F4	20151231_1	4	Sync	50	46	7	6	-3.4	188	184	-14.2	159.5	12	104.9	-10.2	184.6	0.45	0.5	-0.116666667	-0.146722	0.37344	-0.174758	0.28816	351.999984	15.5	1	0.116828
111	0	G4	20160118_2	4	Sync	48	31	3.2	7	-7	158	195	-11.3	211	-1.5	176.3	-3.6	480	0.333333333	0.425	-0.1	-10.676134	3.527936	-1.369422	0.315417	227.799987	21.299999	1	0.072934
112	0	H4	20160118_2	4	Sync	48	NaN	NaN	NaN	-7.5	179	185	-3.7	214.6	-19.5	66.5	-7.5	487.6	0.083333333	0.125	-0.016666667	-43.369954	4.078278	-1.712467	0.443779	159.599988	21.299999	1	0.054757
113	0	I4	20160118_2	4	Sync	48	NaN	NaN	NaN	-4.3	184	247	-11.7	132.4	34.3	164	-11.3	490.3	0.516666667	0.475	-0.05	-7.555745	2.680705	-0.919852	0.337707	274.899985	16.2	1	0.087411
114	0	J4	20160118_2	4	Sync	48	NaN	NaN	NaN	-14	207	239	-0.2	105.2	16.4	43.8	-5.2	506.4	0.033333333	0.05	-0.033333333	-8.457303	2.485135	-0.514721	0.709377	252.599986	22.799999	1	0.231641
115	0	K4	20160118_2	4	Sync	48	14	3.1	8	-6.5	177	239	-1.5	173.3	31.3	255.4	-0.7	946.4	0.2	0.3	-0.133333333	-48.378126	3.239443	-1.715937	0.573293	158.899988	23.899999	5	0.202259
116	0	L4	20160118_2	4	Sync	48	32	1.4	8	-20	191	257	-3.8	155.8	16.6	111.3	-10.6	507.2	NaN	NaN	NaN	-27.542555	3.021848	-4.125161	0.546158	165.899988	27.899999	1	0.214525
117	0	M4	20160118_2	4	Sync	48	NaN	NaN	NaN	-7	193	192	-11.6	148.2	-18.4	56.3	-4.8	312.9	0.183333333	0.275	-0.05	-1.849908	1.015449	-0.550097	0.407955	311.499985	27.799999	1	0.087814
118	0	N4	20160118_2	4	Sync	48	55	2.2	7	-8	154	207	-12	206.2	-12	208.5	-2.4	401.3	0.383333333	0.375	-0.083333333	-9.121941	2.930182	-0.490901	0.418239	259.999986	34.599999	1	0.097346
119	0	O4	20160118_2	4	Sync	48	25	7	8	-4.5	170	193	-13	177	28.6	171.6	-1.9	309.1	0.75	0.25	-0.083333333	-12.820875	8.908092	-0.120576	0.158339	265.799986	59.699998	1	0.099921
120	0	P4	20160122_3	0	Control	48	19	4.6	10	-11	189	184	-12.2	158.7	24.5	228.6	-16.2	379.7	NaN	NaN	NaN	-4.928826	1.867533	-0.559428	0.309585	300.499985	31.599999	1	0.114189
121	0	Q4	20160122_3	0	Control	48	15	3.7	8	-6.5	186	213	-11.4	182.8	-3.8	135.7	-5.1	468.7	0.25	0.3	-0.083333333	-2.703044	1.590708	-0.611045	0.17702	317.199984	24.899999	2	0.10642
122	0	R4	20160122_3	0	Control	48	36	1.9	6	-15	187	198	-12.6	134.8	25.3	156.3	-8.1	463.5	NaN	NaN	NaN	-0.178867	0.456196	-0.2758	0.402046	344.199984	20.599999	NaN	NaN
123	0	S4	20160202_1	0	Control	48	34	6.3	7	-5	185	190	-14.3	191.6	27.8	105.6	-18.5	89.5	0.466666667	0.5	-0.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.009431
124	0	T4	20160202_1	0	Control	48	33	3.7	11	-7	NaN	NaN	-12.7	226	-4.5	188.4	-3.1	474.9	NaN	NaN	NaN	-0.184021	0.32175	-0.20548	0.156896	346.399984	13.9	1	0.110593
125	0	U4	20160202_1	0	Control	48	11	5.4	11	-4.5	NaN	NaN	-8.4	228.5	23.6	399.6	-4.4	716.8	NaN	NaN	NaN	-5.472039	2.59217	-0.422269	0.287136	296.699985	25.699999	1	0.053638
126	0	V4	20160202_1	0	Control	48	47	1.6	6	-13	131	173	-12.5	248.5	11.5	164.6	-15.1	381.1	NaN	NaN	NaN	-5.294529	2.735157	-4.200655	1.382608	272.799986	23.399999	1	0.078904
127	0	W4	20160202_1	0	Control	48	27	1	9	-50	151	170	-21.6	307.4	-15.6	47.4	-16.7	461.3	NaN	NaN	NaN	-2.394443	2.295504	-6.902146	2.086967	316.199984	25.899999	1	0.153626
128	0	X4	20160202_1	0	Control	48	43	4.6	7	-6.5	145	178	-15.8	102	1.9	110.6	-7.8	330.6	0.183333333	0.275	-0.083333333	-1.225077	4.13922	-2.473258	2.806101	324.299984	84.899998	1	0.050696
129	0	Y4	20160207_1	3	Sound	49	24	6.2	10	-6.5	136	204	-22.7	327.6	18.3	305.4	-10.8	396.9	0.833333333	0.4	-2.76E-16	-0.47543	0.476506	-0.380768	0.301929	335.999984	21.199999	1	0.056595
130	0	Z4	20160207_1	3	Sound	49	33	4.1	10	-7.7	134	188	-13.6	291.5	4.5	89.6	-10.7	409.6	NaN	NaN	NaN	0.063578	0.916864	0.354046	0.843749	368.099983	55.799999	1	0.063203
131	0	A5	20160207_1	3	Sound	49	28	5.4	10	-8.5	143	187	-24.5	410.9	20.6	167.8	-10.8	633.3	0.433333333	0.5	-0.066666667	-0.155436	0.156869	-0.619047	0.435372	337.899984	22.399999	1	0.054199
132	0	B5	20160207_1	3	Sound	49	33	4.1	7	-6.5	143	197	-15.3	241.4	-3.9	70.8	-6.4	379	0.283333333	0.375	-0.116666667	0.07175	0.306693	-0.892657	0.560743	326.199984	20.699999	1	0.157646
133	0	C5	20160207_4	0	Control	48	20	3.5	9	-6.3	148	198	-24.3	471.8	16	222.9	-8.6	335.2	1.166666667	1.025	-0.166666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.067225
134	0	D5	20160207_4	0	Control	48	20	2.7	12	-12	153	213	-12.8	308	0.6	70.5	-12.7	617.1	0.383333333	0.55	-0.15	0.081245	0.405897	-3.332003	0.8744	321.599984	24.699999	1	0.071777
135	0	E5	20160207_4	0	Control	48	38	3.1	9	-9	161	199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.200806	2.220085	-3.952567	2.130095	338.699984	28.499999	1	0.182144
136	0	F5	20160209_2	3	Sound	48	47	4.2	8	-4.3	172	195	-13.3	100.8	-16.9	91.9	-10.6	262	0.5	0.525	-0.133333333	-4.463399	2.361014	-3.760941	1.255688	268.399986	27.099999	1	0.09969
137	0	G5	20160209_2	3	Sound	48	40	3.2	7	-7.5	183	188	-14.4	111.9	7.9	97.1	-13	371	0.3	0.4	-0.1	-2.858819	1.428651	-3.086275	0.755519	285.499985	22.199999	1	0.114077
138	0	H5	20160209_2	3	Sound	48	NaN	NaN	NaN	-12	170	185	-23.2	148.4	14.2	56.5	-17.1	341.1	0.183333333	0.125	-0.016666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.048578
139	0	I5	20160209_2	3	Sound	48	33	2.1	8	-11	165	191	-13.8	177.7	-22	25.5	-4.7	316.5	0.433333333	0.5	-0.1	-0.594788	0.558291	-1.928049	0.223986	320.999984	20.799999	1	0.156628
140	0	J5	20160209_2	3	Sound	48	13	3.9	10	-8.5	179	178	-14.8	317.3	9.1	249.5	-16.9	558.9	0.85	0.975	0.183333333	-5.621406	6.684112	-7.266206	1.159586	300.199985	14.8	3	-0.039354
141	0	K5	20160209_2	3	Sound	48	68	3.4	6	-10	177	188	-19.2	425.3	-28.1	48.3	-15.7	326.7	1.516666667	1.675	0.216666667	NaN	NaN	NaN	NaN	NaN	NaN	6	0.113275
142	0	L5	20160209_5	0	Control	49	27	2.9	6	-11	156	158	-22	296	16.6	187.6	-18.2	363.2	1.05	0.45	0.016666667	-1.734585	2.900052	-2.180198	2.594684	357.899983	84.899998	1	0.115336
143	0	M5	20160209_5	0	Control	49	23	10.6	8	-7	142	159	-13.8	198.1	2.2	66.5	-14	230.6	0.466666667	0.5	-0.133333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.059734
144	0	N5	20160209_5	0	Control	49	41	1.9	9	-8	134	200	-13.9	308.2	-23.2	57.2	-11.6	422.2	NaN	NaN	NaN	-9.237298	1.643727	-7.88749	1.684522	296.399985	17.8	2	0.102264
145	0	O5	20160209_5	0	Control	49	31	1.9	12	-12	126	188	-21.2	473.2	-15.4	116.8	-10.8	693.8	1.5	1.375	0.333333333	-37.406989	10.336696	-11.307594	2.204737	251.699986	41.099999	4	-0.049124
146	0	P5	20160209_5	0	Control	49	14	4	9	-9	137	181	-12	550	23.5	223.6	-12.6	894.5	0.116666667	0.175	-0.083333333	-18.453979	4.524318	-10.021291	2.617393	234.699986	15.9	4	0.08713
147	0	Q5	20160209_5	0	Control	49	37	4.6	7	-9	133	184	-19.5	245.4	2.1	69.1	-14.6	263.4	2.416666667	1.925	0.15	-3.133545	1.422592	-2.090209	0.66337	323.399984	23.399999	2	0.117589
148	0	R5	20160214_3	3	Sound	49	45	2.3	10	-8	150	203	-12.9	267.8	14.2	298.7	-17.5	695.4	0.616666667	0.6	-0.116666667	-9.808621	2.214011	-21.791471	2.644838	298.399985	13.6	2	0.048671
149	0	S5	20160214_3	3	Sound	49	8	3.2	14	-8	165	206	-6.5	258.7	15	428.4	-12.6	654.6	0.8	0.525	-0.1	-12.782762	1.971955	-24.204867	2.254181	277.999985	8.1	3	-0.017336
150	0	T5	20160214_3	3	Sound	49	28	5	8	-9	141	208	-22.9	273.6	20.3	182.6	-13.6	339.6	0.566666667	0.55	-0.1	-4.33058	2.813137	-4.021609	1.565025	284.999985	21.199999	1	0.088032
151	0	U5	20160214_3	3	Sound	49	43	2.4	11	-8	148	213	-12.7	474.9	23.5	315.3	-14.4	900.8	1.6	1.075	0.166666667	-83.806864	9.552564	-31.06144	6.433389	207.699987	25.299999	4	0.06201
152	0	V5	20160214_3	3	Sound	49	26	3.5	8	-5.8	155	209	-6.7	194.9	6.8	45.3	-31	77.2	0.116666667	0.175	-0.016666667	-26.626112	5.651986	-21.654266	2.526919	265.099986	14.1	6	-0.019463
153	0	W5	20160214_3	3	Sound	49	13	1.1	12	-7	158	212	-4.6	271.5	-32	22.9	-6.5	659.6	3.733333333	3.175	1.3	-56.038005	1.042653	-17.735547	1.902844	195.499987	8.3	7	0.048686
154	0	X5	20160214_3	3	Sound	49	35	1.2	10	-7	157	200	-12	272.7	-32	18.4	-10.6	727.9	1.116666667	1.15	-0.183333333	-14.124858	4.954677	-17.032816	6.03776	264.499986	19.7	2	-0.04248
155	0	Y5	20160214_3	3	Sound	49	46	2.3	6	-6.5	162	216	-4	141.3	-0.4	17.8	-10.2	520.6	0.983333333	0.45	-0.016666667	-33.291016	9.752564	-10.302864	1.108188	192.399988	14.2	2	-0.054411
156	0	Z5	20160214_3	3	Sound	49	60	1.4	12	-15	168	217	-4.1	202.6	-13.7	60.9	-7.4	485.1	0.4	0.4	0.033333333	-8.314345	2.335957	-11.26129	2.141112	305.899985	16.2	2	0.015278
157	0	A6	20160214_6	0	Control	49	26	2	6	-6	138	230	-4.9	206.6	14.2	150	-8.6	407	1.8	1.875	0.3	-2.80582	2.65396	-3.476271	0.880173	273.499986	34.799999	1	0.035403
158	0	B6	20160214_6	0	Control	49	32	3.8	9	-12.5	129	212	-12.5	197.1	1.5	175.9	-11.2	268.4	1.066666667	0.925	0.066666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.168293
159	0	C6	20160216_7	0	Control	49	37	1.1	7	-15	132	170	-20	329	10.1	327.5	-14.2	467.1	0.25	0.375	-0.05	-6.186591	3.049812	-7.934573	2.54108	329.899984	14.3	2	0.056111
160	0	D6	20160216_7	0	Control	49	NaN	NaN	NaN	-5.5	137	154	-18.6	276.5	16	181.6	-22	159	0.666666667	0.3	-0.066666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.039673
161	0	E6	20160216_7	0	Control	49	24	2.6	9	-7	152	153	-13.2	307.6	22.1	300.9	-15.9	867	4.7	4.075	0.933333333	-6.305135	2.467101	-10.037172	1.160038	344.999984	18.4	5	0.050549
162	0	F6	20160220_8	0	Control	48	48	2.7	6	-6	161	157	-24.1	131.8	22.9	132.3	-21.8	220.5	0.266666667	0.375	-0.1	NaN	NaN	NaN	NaN	NaN	NaN	1	0.150373
163	0	G6	20160220_8	0	Control	48	39	4.2	7	-8	155	167	-30.1	107	23.7	147.8	-20.6	195	0.45	0.45	-0.116666667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.193895
164	0	H6	20160220_8	0	Control	48	16	4.7	10	-9	165	168	-21.8	280.9	28.6	196.8	-17.2	401.9	0.666666667	0.5	-3.73E-16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
165	0	I6	20160220_4	3	Sound	49	25	7.1	8	-5	158	203	-25.7	186.6	25.2	59.6	-24.2	103.8	0.666666667	0.5	-3.73E-16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.121348
166	0	J6	20160223_4	3	Sound	49	33	2.7	14	-3	157	210	-25.4	600.1	27.7	112.3	-14.3	587.9	0.933333333	0.35	-0.133333333	-0.780165	0.996004	-0.068659	0.468402	346.599984	24.899999	1	0.109401
167	0	K6	20160223_4	3	Sound	49	21	2.3	14	-3	154	220	-7.1	462.7	19.3	159.5	-25	333.2	1.633333333	0.3	-0.233333333	0.042386	0.67382	0.018344	0.778245	372.999983	51.799999	2	0.094321
168	0	L6	20160223_4	3	Sound	49	NaN	NaN	NaN	-5	147	202	-28.1	465.2	25.1	127.9	-13.9	449.4	0.533333333	0.5	-0.1	0.062222	0.494725	-0.075447	0.373438	362.199983	13.8	1	0.1338
169	0	M6	20160223_5	3	Sound	48	NaN	NaN	NaN	-5	145	196	-14.3	366.2	10	194.1	-13.4	456.3	0.633333333	0.525	-0.033333333	-53.89662	7.023524	-19.71845	2.243005	223.299987	26.799999	2	0.102006
170	0	N6	20160223_5	3	Sound	48	16	2.6	8	-5	145	208	-6.3	250.8	-12	118.6	-20.2	178.8	0.5	0.4	-8.60E-17	-27.566664	7.411908	-15.904173	1.572914	239.599986	48.599999	2	0.149771
171	0	O6	20160223_5	3	Sound	48	24	5.2	8	-4.5	135	210	-18.1	310.3	14.9	200.1	-5.1	281.9	0.15	0.225	-0.083333333	-0.776435	0.960505	-0.665176	0.279729	334.399984	17.7	1	0.144395
172	0	P6	20160223_5	3	Sound	48	42	1.7	10	-5	154	193	-5.2	349.9	-16.4	124.8	-13.8	252.7	1.35	0.85	-0.016666667	-23.203735	6.393441	-19.045501	1.537439	270.999986	10.7	6	-0.048772
173	0	Q6	20160223_5	3	Sound	48	14	4	10	-4.5	139	200	-20	377.8	-3.8	159.1	-4.2	312.7	0.366666667	0.4	-0.166666667	-3.929138	2.146187	-2.181351	0.547131	272.699986	17.2	2	0.03181
174	0	R6	20160223_5	3	Sound	48	110	2.4	9	-5	149	201	-15.7	409.2	-1.3	236.9	-14.4	395.6	0.616666667	0.6	-0.05	-20.076294	2.756591	-12.484626	1.618382	259.399986	12.1	3	0.072044
175	0	S6	20160223_5	3	Sound	48	55	4.1	5	-4	164	202	-22.4	530.6	22.3	258	-12	357.2	0.683333333	0.625	-0.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.142794
176	0	T6	20160223_5	3	Sound	48	31	1	9	-9	133	193	-23.4	384.6	23.5	180.7	-3.2	228.8	0.433333333	0.5	-0.133333333	-11.930372	5.309973	-2.094264	0.576523	219.099987	18.2	1	0.080563
177	0	U6	20160228_1	6	SlowC	49	20	2.2	9	-11	130	194	-21.1	349.3	20.2	421.1	-20	452.2	1.35	0.75	-0.016666667	-11.66114	5.705163	-9.337425	2.706168	274.999985	26.899999	2	-0.013296
178	0	V6	20160228_1	6	SlowC	49	35	4.8	9	-3.3	171	203	-5.6	274.5	-19.1	129.7	-10.1	811.3	0.3	0.35	-0.133333333	-80.969984	12.294714	-37.597124	4.169745	238.899986	11.9	3	-0.001708
179	0	W6	20160228_1	6	SlowC	49	52	4.3	6	-3.5	153	167	-14.4	259.1	13.1	143.5	-11.2	251.7	0.366666667	0.475	-0.033333333	-11.7669	3.21838	-13.067228	1.825499	244.099986	15.7	1	0.077472
